,gfp_rbs_foldx,codon,charging_rate,ATA_charged,ATA_uncharged,GFP,TTT_charged,TTT_uncharged,__GFP_rbs,__cellularProtein_rbs,cellularProtein,free ribosome,cellularProtein_max,cellularProtein_norm
109,3.0,0.7,100.0,0.08266666666666667,688.0,1026.3333333333333,0.3975238095238095,1054.3333333333333,10.0,97.33333333333333,33892.333333333336,0.16933333333333334,34107.333333333336,0.9936963702820508
110,3.0,0.7,250.0,0.2604444444444445,554.6666666666666,2137.0,0.524,833.0,9.666666666666666,98.33333333333333,69429.0,0.3666666666666667,69884.66666666667,0.9934797332748242
111,3.0,0.7,500.0,0.48888888888888893,383.3333333333333,2967.6666666666665,0.6558095238095238,602.3333333333334,10.0,99.33333333333333,96025.0,0.458,96533.66666666667,0.9947306811785871
112,3.0,0.7,1000.0,0.7124444444444445,215.66666666666666,3370.6666666666665,0.8093333333333332,333.6666666666667,10.0,98.33333333333333,111997.0,0.5406666666666666,112541.0,0.9951662060937791
113,3.0,0.7,5000.0,0.9288888888888889,53.333333333333336,3733.0,0.9571428571428572,75.0,10.0,98.0,124433.66666666667,0.604,124755.33333333333,0.9974216199173851
114,3.0,0.9,50.0,0.04133333333333333,719.0,565.6666666666666,0.3864761904761905,1073.6666666666667,9.666666666666666,96.66666666666667,17760.333333333332,0.094,17795.666666666668,0.9980144979114765
115,3.0,0.9,100.0,0.07955555555555555,690.3333333333334,1040.0,0.4137142857142857,1026.0,10.0,96.66666666666667,34036.0,0.18066666666666667,34112.0,0.9977720450281425
116,3.0,0.9,250.0,0.2511111111111111,561.6666666666666,2133.6666666666665,0.5266666666666666,828.3333333333334,10.0,96.66666666666667,69666.33333333333,0.3466666666666667,69894.0,0.9967426865443862
117,3.0,0.9,500.0,0.47022222222222226,397.3333333333333,2945.3333333333335,0.6483809523809524,615.3333333333334,10.0,96.66666666666667,96162.0,0.4653333333333333,96568.66666666667,0.9957888341974277
118,3.0,0.9,1000.0,0.7071111111111111,219.66666666666666,3405.3333333333335,0.8236190476190476,308.6666666666667,10.0,96.66666666666667,112212.33333333333,0.568,112443.0,0.9979485902486889
119,3.0,0.9,5000.0,0.9386666666666666,46.0,3779.3333333333335,0.9622857142857143,66.0,10.0,98.0,124458.0,0.6133333333333334,124671.0,0.9982915032365185
120,10.0,0.1,50.0,0.028,729.0,1649.6666666666667,0.41714285714285715,1020.0,8.666666666666666,95.33333333333333,16701.0,0.078,17786.666666666668,0.9389617691154423
121,10.0,0.1,100.0,0.08,690.0,3114.6666666666665,0.44342857142857145,974.0,9.666666666666666,95.33333333333333,32103.666666666668,0.15533333333333335,34101.666666666664,0.9414104882459314
122,10.0,0.1,250.0,0.24044444444444446,569.6666666666666,6534.666666666667,0.5411428571428571,803.0,8.666666666666666,97.66666666666667,66501.0,0.322,69845.0,0.9521225570907008
123,10.0,0.1,500.0,0.4608888888888889,404.3333333333333,9212.333333333334,0.6695238095238095,578.3333333333334,10.0,98.0,93410.66666666667,0.4666666666666667,96559.0,0.9673947189455843
124,10.0,0.1,1000.0,0.7075555555555555,219.33333333333334,10916.333333333334,0.8228571428571428,310.0,9.333333333333334,98.0,109711.0,0.56,112472.0,0.9754516679706949
125,10.0,0.1,5000.0,0.9311111111111111,51.666666666666664,12239.666666666666,0.9598095238095239,70.33333333333333,10.0,98.0,122585.33333333333,0.6066666666666666,124654.33333333333,0.9834021012773991
126,10.0,0.3,50.0,0.03955555555555556,720.3333333333334,1735.6666666666667,0.39561904761904765,1057.6666666666667,10.0,95.0,16906.0,0.102,17787.333333333332,0.9504516322476669
127,10.0,0.3,100.0,0.08222222222222222,688.3333333333334,3236.6666666666665,0.40495238095238095,1041.3333333333333,10.0,96.33333333333333,32488.0,0.18066666666666667,34103.0,0.9526434624519837
128,10.0,0.3,250.0,0.27955555555555556,540.3333333333334,6761.333333333333,0.5474285714285714,792.0,9.333333333333334,95.33333333333333,67095.66666666667,0.3753333333333333,69853.66666666667,0.960517462695826
129,10.0,0.3,500.0,0.47955555555555557,390.3333333333333,9479.0,0.6765714285714286,566.0,10.0,98.0,93761.66666666667,0.4826666666666667,96503.66666666667,0.9715865718401028
