,gfp_copy,codon,bind_rate,ATA_charged,ATA_uncharged,GFP,TTT_charged,TTT_uncharged,__GFP_rbs,__cellularProtein_rbs,cellularProtein,free ribosome,cellularProtein_max,cellularProtein_norm
21,1,0.7,30000.0,442.3333333333333,307.6666666666667,2.5,1270.6666666666667,479.3333333333333,1.0,98.33333333333333,23731.666666666668,391.0,23731.666666666668,1.0
22,1,0.7,100000.0,233.0,517.0,3.0,975.0,775.0,1.0,97.0,38726.0,194.33333333333334,38732.333333333336,0.9998364845908242
23,1,0.7,300000.0,182.0,568.0,3.0,893.0,857.0,1.0,97.0,42855.0,69.66666666666667,42855.0,1.0
24,1,0.9,1000.0,728.3333333333334,21.666666666666668,1.0,1715.3333333333333,34.666666666666664,1.0,100.0,1060.6666666666667,495.3333333333333,1067.6666666666667,0.99344364658133
25,1,0.9,3000.0,705.6666666666666,44.333333333333336,2.0,1693.6666666666667,56.333333333333336,1.0,100.0,2979.6666666666665,489.6666666666667,3046.0,0.978222805865616
26,1,0.9,10000.0,647.0,103.0,1.5,1571.3333333333333,178.66666666666666,1.0,99.0,9656.666666666666,471.3333333333333,9656.666666666666,1.0
27,1,0.9,30000.0,417.0,333.0,2.5,1271.6666666666667,478.3333333333333,1.0,98.66666666666667,23755.666666666668,385.6666666666667,23755.666666666668,1.0
28,1,0.9,100000.0,227.66666666666666,522.3333333333334,3.3333333333333335,966.0,784.0,1.0,96.0,38736.666666666664,194.33333333333334,38736.666666666664,1.0
29,1,0.9,300000.0,168.0,582.0,4.666666666666667,843.3333333333334,906.6666666666666,1.0,96.33333333333333,42848.666666666664,68.0,42848.666666666664,1.0
30,2,0.1,1000.0,738.0,12.0,1.5,1730.0,20.0,2.0,100.0,1044.0,497.3333333333333,1057.3333333333333,0.9873896595208072
31,2,0.1,3000.0,706.3333333333334,43.666666666666664,2.0,1685.6666666666667,64.33333333333333,2.0,100.0,3023.0,489.6666666666667,3040.6666666666665,0.994189870642403
32,2,0.1,10000.0,634.6666666666666,115.33333333333333,5.333333333333333,1573.0,177.0,2.0,100.0,9603.0,471.6666666666667,9653.333333333334,0.9947859116022099
33,2,0.1,30000.0,452.6666666666667,297.3333333333333,9.0,1298.6666666666667,451.3333333333333,2.0,99.0,23635.333333333332,393.3333333333333,23802.666666666668,0.9929699753529015
34,2,0.1,100000.0,237.33333333333334,512.6666666666666,15.333333333333334,953.6666666666666,796.3333333333334,2.0,97.66666666666667,38727.666666666664,189.0,38727.666666666664,1.0
35,2,0.1,300000.0,177.33333333333334,572.6666666666666,15.0,864.6666666666666,885.3333333333334,2.0,96.0,42844.333333333336,64.66666666666667,42859.0,0.9996577926067649
36,2,0.3,1000.0,737.3333333333334,12.666666666666666,1.5,1732.3333333333333,17.666666666666668,2.0,100.0,1044.0,497.3333333333333,1057.3333333333333,0.9873896595208072
37,2,0.3,3000.0,712.6666666666666,37.333333333333336,2.0,1693.3333333333333,56.666666666666664,2.0,100.0,3030.3333333333335,491.0,3065.6666666666665,0.9884745025551811
38,2,0.3,10000.0,622.3333333333334,127.66666666666667,4.0,1592.3333333333333,157.66666666666666,2.0,100.0,9616.0,470.6666666666667,9679.0,0.993491063126356
39,2,0.3,30000.0,447.6666666666667,302.3333333333333,9.0,1249.6666666666667,500.3333333333333,2.0,98.66666666666667,23715.666666666668,385.3333333333333,23751.0,0.9985123433399296
40,2,0.3,100000.0,236.33333333333334,513.6666666666666,17.0,939.6666666666666,810.3333333333334,2.0,97.33333333333333,38726.0,187.33333333333334,38726.0,1.0
41,2,0.3,300000.0,169.33333333333334,580.6666666666666,16.0,852.0,898.0,2.0,96.33333333333333,42845.333333333336,66.33333333333333,42851.0,0.9998677588232091
42,2,0.5,1000.0,738.0,12.0,1.5,1728.6666666666667,21.333333333333332,2.0,100.0,1044.0,497.3333333333333,1057.3333333333333,0.9873896595208072
43,2,0.5,3000.0,708.0,42.0,2.3333333333333335,1683.6666666666667,66.33333333333333,2.0,100.0,3036.0,489.6666666666667,3057.6666666666665,0.9929139867000981
44,2,0.5,10000.0,617.0,133.0,4.666666666666667,1540.6666666666667,209.33333333333334,2.0,99.66666666666667,9512.666666666666,465.3333333333333,9624.666666666666,0.988363233358731
45,2,0.5,30000.0,450.6666666666667,299.3333333333333,9.0,1252.3333333333333,497.6666666666667,2.0,99.0,23751.0,387.6666666666667,23751.0,1.0
46,2,0.5,100000.0,223.0,527.0,15.333333333333334,985.6666666666666,764.3333333333334,2.0,98.66666666666667,38761.0,190.33333333333334,38761.0,1.0
47,2,0.5,300000.0,174.66666666666666,575.3333333333334,14.666666666666666,875.3333333333334,874.6666666666666,2.0,96.33333333333333,42837.666666666664,69.0,42853.333333333336,0.9996344119477286
48,2,0.7,1000.0,736.0,14.0,1.5,1718.6666666666667,31.333333333333332,2.0,100.0,1045.3333333333333,496.6666666666667,1058.3333333333333,0.9877165354330709
49,2,0.7,3000.0,698.3333333333334,51.666666666666664,2.3333333333333335,1678.6666666666667,71.33333333333333,2.0,100.0,2980.3333333333335,488.3333333333333,3082.3333333333335,0.966908186438845
50,2,0.7,10000.0,615.0,135.0,4.333333333333333,1560.6666666666667,189.33333333333334,2.0,100.0,9558.0,465.3333333333333,9628.0,0.9927295388450353
51,2,0.7,30000.0,421.3333333333333,328.6666666666667,8.666666666666666,1253.6666666666667,496.3333333333333,2.0,99.33333333333333,23656.666666666668,387.6666666666667,23731.666666666668,0.9968396657068614
52,2,0.7,100000.0,221.66666666666666,528.3333333333334,19.666666666666668,960.3333333333334,789.6666666666666,2.0,98.0,38732.333333333336,188.66666666666666,38732.333333333336,1.0
53,2,0.7,300000.0,181.33333333333334,568.6666666666666,16.333333333333332,861.3333333333334,888.6666666666666,2.0,97.66666666666667,42848.666666666664,72.0,42855.0,0.9998522148329638
54,2,0.9,1000.0,726.0,24.0,1.5,1716.6666666666667,33.333333333333336,2.0,100.0,1052.3333333333333,495.6666666666667,1067.6666666666667,0.985638463940056
55,2,0.9,3000.0,710.6666666666666,39.333333333333336,2.0,1697.0,53.0,2.0,100.0,3046.0,491.6666666666667,3046.0,1.0
56,2,0.9,10000.0,620.3333333333334,129.66666666666666,5.0,1549.6666666666667,200.33333333333334,2.0,100.0,9595.0,467.0,9656.666666666666,0.9936140835346912
57,2,0.9,30000.0,449.6666666666667,300.3333333333333,9.666666666666666,1248.6666666666667,501.3333333333333,2.0,99.33333333333333,23664.666666666668,388.0,23755.666666666668,0.9961693350358511
58,2,0.9,100000.0,217.66666666666666,532.3333333333334,17.0,980.6666666666666,769.3333333333334,2.0,97.66666666666667,38719.0,182.0,38736.666666666664,0.9995439290938818
59,2,0.9,300000.0,158.33333333333334,591.6666666666666,17.0,882.6666666666666,867.3333333333334,2.0,96.33333333333333,42844.666666666664,62.333333333333336,42848.666666666664,0.9999066482037559
60,5,0.1,1000.0,738.3333333333334,11.666666666666666,2.3333333333333335,1732.3333333333333,17.666666666666668,5.0,100.0,1035.6666666666667,497.6666666666667,1057.3333333333333,0.9795081967213116
61,5,0.1,3000.0,709.3333333333334,40.666666666666664,9.666666666666666,1687.0,63.0,5.0,99.66666666666667,3016.6666666666665,491.0,3040.6666666666665,0.9921069940802456
62,5,0.1,10000.0,632.6666666666666,117.33333333333333,25.0,1566.6666666666667,183.33333333333334,5.0,100.0,9525.666666666666,469.6666666666667,9653.333333333334,0.9867748618784529
