,gfp_rbs_foldx,codon,charging_rate,speed,ATA_charged,ATA_uncharged,GFP,TTT_charged,TTT_uncharged,__GFP_rbs,__cellularProtein_rbs,cellularProtein,free ribosome,TTT_charged_perc,ATA_charged_perc,free_ribosome_perc,cellularProtein_max,cellularProtein_norm
31,0.1,0.1,10000.0,1.0,737.3333333333334,12.666666666666666,38.666666666666664,1723.0,27.0,10.0,98.0,38019.0,193.0,0.9845714285714285,0.9831111111111112,0.386,38019.0,1.0
32,0.1,0.1,10000.0,2.0,732.0,18.0,51.333333333333336,1706.6666666666667,43.333333333333336,10.0,98.66666666666667,55379.333333333336,277.0,0.9752380952380952,0.976,0.554,55406.333333333336,0.9995126910882631
33,0.1,0.1,10000.0,4.0,726.6666666666666,23.333333333333332,63.0,1702.6666666666667,47.333333333333336,10.0,99.66666666666667,71986.0,356.0,0.972952380952381,0.9688888888888888,0.712,71986.0,1.0
34,0.1,0.1,10000.0,8.0,725.6666666666666,24.333333333333332,80.33333333333333,1691.0,59.0,10.0,100.0,85038.66666666667,415.6666666666667,0.9662857142857143,0.9675555555555555,0.8313333333333334,85038.66666666667,1.0
35,0.1,0.3,10.0,0.5,36.666666666666664,713.3333333333334,2.6666666666666665,183.0,1567.0,10.0,99.66666666666667,2004.0,1.3333333333333333,0.10457142857142857,0.048888888888888885,0.0026666666666666666,2004.0,1.0
36,0.1,0.3,10.0,1.0,20.0,730.0,4.333333333333333,213.66666666666666,1536.3333333333333,10.0,97.33333333333333,2046.0,7.666666666666667,0.12209523809523809,0.02666666666666667,0.015333333333333334,2046.0,1.0
37,0.1,0.3,10.0,2.0,7.666666666666667,742.3333333333334,3.3333333333333335,201.66666666666666,1548.3333333333333,10.0,98.0,2084.6666666666665,10.333333333333334,0.11523809523809524,0.010222222222222223,0.020666666666666667,2084.6666666666665,1.0
38,0.1,0.3,10.0,4.0,4.333333333333333,745.6666666666666,4.0,138.0,1612.0,10.0,97.66666666666667,2103.0,7.333333333333333,0.07885714285714286,0.0057777777777777775,0.014666666666666666,2106.0,0.9985754985754985
39,0.1,0.3,10.0,8.0,1.6666666666666667,748.3333333333334,3.3333333333333335,163.66666666666666,1586.3333333333333,10.0,99.33333333333333,2121.3333333333335,8.0,0.09352380952380952,0.0022222222222222222,0.016,2121.3333333333335,1.0
40,0.1,0.3,30.0,0.5,159.0,591.0,8.0,370.6666666666667,1379.3333333333333,10.0,98.0,5647.666666666667,26.666666666666668,0.2118095238095238,0.212,0.05333333333333334,5647.666666666667,1.0
