,gfp_rbs_foldx,codon,charging_rate,ATA_charged,ATA_uncharged,GFP,TTT_charged,TTT_uncharged,__GFP_rbs,__cellularProtein_rbs,cellularProtein,free ribosome,cellularProtein_max,cellularProtein_norm
28,0.3,0.3,1000.0,0.8955555555555555,78.33333333333333,128.0,0.9302857142857143,122.0,10.0,97.0,40667.666666666664,0.224,40668.0,0.9999918035474246
29,0.3,0.3,5000.0,0.9733333333333334,20.0,125.33333333333333,0.9857142857142858,25.0,10.0,97.66666666666667,43329.666666666664,0.194,43346.0,0.9996231870683954
30,0.3,0.5,50.0,0.21288888888888888,590.3333333333334,44.666666666666664,0.4876190476190476,896.6666666666666,10.0,96.0,14387.333333333334,0.07533333333333334,14396.333333333334,0.9993748408159485
31,0.3,0.5,100.0,0.3848888888888889,461.3333333333333,67.0,0.612,679.0,10.0,97.66666666666667,22544.666666666668,0.11,22559.666666666668,0.9993350965587553
32,0.3,0.5,250.0,0.6444444444444444,266.6666666666667,88.0,0.7939047619047619,360.6666666666667,10.0,96.33333333333333,32600.333333333332,0.17533333333333334,32634.333333333332,0.9989581524570238
33,0.3,0.5,500.0,0.8044444444444445,146.66666666666666,111.66666666666667,0.868,231.0,10.0,95.33333333333333,37690.333333333336,0.182,37717.0,0.9992929801769318
34,0.3,0.5,1000.0,0.8933333333333333,80.0,128.66666666666666,0.9308571428571428,121.0,10.0,97.33333333333333,40647.333333333336,0.21666666666666665,40701.666666666664,0.9986650833299211
35,0.3,0.5,5000.0,0.9826666666666667,13.0,144.0,0.9828571428571429,30.0,10.0,95.0,43322.0,0.236,43412.0,0.9979268405049295
36,0.3,0.7,50.0,0.21866666666666668,586.0,43.0,0.48038095238095235,909.3333333333334,10.0,95.33333333333333,14392.333333333334,0.06733333333333333,14395.333333333334,0.9997915991293475
37,0.3,0.7,100.0,0.41422222222222227,439.3333333333333,69.33333333333333,0.6171428571428571,670.0,10.0,96.66666666666667,22550.0,0.11666666666666667,22564.0,0.9993795426342847
38,0.3,0.7,250.0,0.6426666666666667,268.0,94.66666666666667,0.7773333333333333,389.6666666666667,10.0,97.66666666666667,32601.666666666668,0.18133333333333335,32629.0,0.9991622993860267
39,0.3,0.7,500.0,0.7871111111111112,159.66666666666666,108.0,0.8773333333333333,214.66666666666666,10.0,98.66666666666667,37704.666666666664,0.196,37704.666666666664,1.0
40,0.3,0.7,1000.0,0.892,81.0,121.0,0.9335238095238095,116.33333333333333,10.0,97.33333333333333,40657.666666666664,0.20733333333333334,40722.0,0.9984201823748015
41,0.3,0.7,5000.0,0.9764444444444444,17.666666666666668,127.66666666666667,0.9845714285714285,27.0,10.0,98.0,43356.0,0.21,43356.0,1.0
42,0.3,0.9,50.0,0.20888888888888887,593.3333333333334,39.0,0.5013333333333334,872.6666666666666,10.0,97.33333333333333,14395.333333333334,0.06866666666666667,14395.333333333334,1.0
43,0.3,0.9,100.0,0.39066666666666666,457.0,65.33333333333333,0.6243809523809524,657.3333333333334,10.0,95.33333333333333,22562.333333333332,0.10733333333333332,22567.0,0.9997932083721067
