,species,protein,codon_comp,tRNA_prop,tRNA_charging_rate
182,ATA_charged,98.0,27,1,10.0
183,ATA_uncharged,1.0,27,1,10.0
184,TTT_charged,0.0,27,1,10.0
185,TTT_uncharged,1.0,27,1,10.0
186,__proteinX_rbs,97.0,27,1,10.0
187,__ribosome,0.0,27,1,10.0
188,proteinX,114.0,27,1,10.0
189,ATA_charged,96.5,28,1,10.0
190,ATA_uncharged,2.5,28,1,10.0
191,TTT_charged,0.0,28,1,10.0
192,TTT_uncharged,1.0,28,1,10.0
193,__proteinX_rbs,98.5,28,1,10.0
194,__ribosome,0.0,28,1,10.0
195,proteinX,106.0,28,1,10.0
196,ATA_charged,96.0,30,1,10.0
197,ATA_uncharged,3.0,30,1,10.0
198,TTT_charged,0.0,30,1,10.0
199,TTT_uncharged,1.0,30,1,10.0
200,__proteinX_rbs,96.0,30,1,10.0
201,__ribosome,1.0,30,1,10.0
202,proteinX,105.0,30,1,10.0
203,ATA_charged,98.5,31,1,10.0
204,ATA_uncharged,0.5,31,1,10.0
205,TTT_charged,0.0,31,1,10.0
206,TTT_uncharged,1.0,31,1,10.0
207,__proteinX_rbs,98.0,31,1,10.0
208,__ribosome,0.0,31,1,10.0
209,proteinX,98.0,31,1,10.0
210,ATA_charged,98.0,32,1,10.0
211,ATA_uncharged,1.0,32,1,10.0
212,TTT_charged,0.0,32,1,10.0
213,TTT_uncharged,1.0,32,1,10.0
214,__proteinX_rbs,99.0,32,1,10.0
215,__ribosome,0.0,32,1,10.0
216,proteinX,100.0,32,1,10.0
217,ATA_charged,97.0,33,1,10.0
218,ATA_uncharged,2.0,33,1,10.0
219,TTT_charged,1.0,33,1,10.0
220,TTT_uncharged,0.0,33,1,10.0
221,__proteinX_rbs,91.0,33,1,10.0
222,__ribosome,0.0,33,1,10.0
223,proteinX,78.0,33,1,10.0
224,ATA_charged,98.0,34,1,10.0
225,ATA_uncharged,1.0,34,1,10.0
226,TTT_charged,0.0,34,1,10.0
227,TTT_uncharged,1.0,34,1,10.0
228,__proteinX_rbs,97.5,34,1,10.0
229,__ribosome,0.0,34,1,10.0
230,proteinX,99.0,34,1,10.0
231,ATA_charged,96.5,35,1,10.0
232,ATA_uncharged,2.5,35,1,10.0
233,TTT_charged,0.0,35,1,10.0
234,TTT_uncharged,1.0,35,1,10.0
235,__proteinX_rbs,94.5,35,1,10.0
236,__ribosome,0.0,35,1,10.0
237,proteinX,93.5,35,1,10.0
238,ATA_charged,98.5,36,1,10.0
239,ATA_uncharged,0.5,36,1,10.0
240,TTT_charged,0.0,36,1,10.0
241,TTT_uncharged,1.0,36,1,10.0
242,__proteinX_rbs,96.0,36,1,10.0
243,__ribosome,0.0,36,1,10.0
244,proteinX,90.0,36,1,10.0
245,ATA_charged,99.0,37,1,10.0
246,ATA_uncharged,0.0,37,1,10.0
247,TTT_charged,0.0,37,1,10.0
248,TTT_uncharged,1.0,37,1,10.0
249,__proteinX_rbs,96.0,37,1,10.0
250,__ribosome,1.0,37,1,10.0
251,proteinX,91.0,37,1,10.0
252,ATA_charged,99.0,38,1,10.0
253,ATA_uncharged,0.0,38,1,10.0
254,TTT_charged,0.0,38,1,10.0
255,TTT_uncharged,1.0,38,1,10.0
256,__proteinX_rbs,97.0,38,1,10.0
257,__ribosome,0.0,38,1,10.0
258,proteinX,85.0,38,1,10.0
259,ATA_charged,99.0,39,1,10.0
260,ATA_uncharged,0.0,39,1,10.0
261,TTT_charged,0.0,39,1,10.0
262,TTT_uncharged,1.0,39,1,10.0
263,__proteinX_rbs,93.0,39,1,10.0
264,__ribosome,0.0,39,1,10.0
265,proteinX,87.0,39,1,10.0
266,ATA_charged,97.0,40,1,10.0
267,ATA_uncharged,2.0,40,1,10.0
268,TTT_charged,0.5,40,1,10.0
269,TTT_uncharged,0.5,40,1,10.0
270,__proteinX_rbs,90.0,40,1,10.0
271,__ribosome,0.0,40,1,10.0
272,proteinX,84.0,40,1,10.0
273,ATA_charged,97.0,41,1,10.0
274,ATA_uncharged,2.0,41,1,10.0
275,TTT_charged,0.0,41,1,10.0
276,TTT_uncharged,1.0,41,1,10.0
277,__proteinX_rbs,87.0,41,1,10.0
278,__ribosome,1.0,41,1,10.0
279,proteinX,83.0,41,1,10.0
280,ATA_charged,98.0,44,1,10.0
281,ATA_uncharged,1.0,44,1,10.0
282,TTT_charged,0.0,44,1,10.0
283,TTT_uncharged,1.0,44,1,10.0
284,__proteinX_rbs,80.0,44,1,10.0
285,__ribosome,0.0,44,1,10.0
286,proteinX,70.0,44,1,10.0
287,ATA_charged,99.0,45,1,10.0
288,ATA_uncharged,0.0,45,1,10.0
289,TTT_charged,1.0,45,1,10.0
290,TTT_uncharged,0.0,45,1,10.0
291,__proteinX_rbs,84.0,45,1,10.0
292,__ribosome,0.0,45,1,10.0
293,proteinX,35.0,45,1,10.0
294,ATA_charged,99.0,46,1,10.0
295,ATA_uncharged,0.0,46,1,10.0
296,TTT_charged,1.0,46,1,10.0
297,TTT_uncharged,0.0,46,1,10.0
298,__proteinX_rbs,83.0,46,1,10.0
299,__ribosome,0.0,46,1,10.0
300,proteinX,44.0,46,1,10.0
301,ATA_charged,97.0,47,1,10.0
302,ATA_uncharged,2.0,47,1,10.0
303,TTT_charged,0.0,47,1,10.0
304,TTT_uncharged,1.0,47,1,10.0
305,__proteinX_rbs,87.0,47,1,10.0
306,__ribosome,1.0,47,1,10.0
307,proteinX,44.0,47,1,10.0
308,ATA_charged,99.0,48,1,10.0
309,ATA_uncharged,0.0,48,1,10.0
310,TTT_charged,0.3333333333333333,48,1,10.0
311,TTT_uncharged,0.6666666666666666,48,1,10.0
312,__proteinX_rbs,83.33333333333333,48,1,10.0
313,__ribosome,0.0,48,1,10.0
314,proteinX,36.666666666666664,48,1,10.0
315,ATA_charged,98.0,49,1,10.0
316,ATA_uncharged,1.0,49,1,10.0
317,TTT_charged,0.0,49,1,10.0
318,TTT_uncharged,1.0,49,1,10.0
319,__proteinX_rbs,86.0,49,1,10.0
320,__ribosome,0.0,49,1,10.0
321,proteinX,29.0,49,1,10.0
322,ATA_charged,99.0,50,1,10.0
323,ATA_uncharged,0.0,50,1,10.0
324,TTT_charged,0.0,50,1,10.0
325,TTT_uncharged,1.0,50,1,10.0
326,__proteinX_rbs,100.0,50,1,10.0
327,__ribosome,0.0,50,1,10.0
328,proteinX,0.0,50,1,10.0
329,ATA_charged,99.0,51,1,10.0
330,ATA_uncharged,0.0,51,1,10.0
331,TTT_charged,1.0,51,1,10.0
332,TTT_uncharged,0.0,51,1,10.0
333,__proteinX_rbs,89.0,51,1,10.0
334,__ribosome,0.0,51,1,10.0
335,proteinX,21.0,51,1,10.0
336,ATA_charged,99.0,52,1,10.0
337,ATA_uncharged,0.0,52,1,10.0
338,TTT_charged,0.0,52,1,10.0
339,TTT_uncharged,1.0,52,1,10.0
340,__proteinX_rbs,91.0,52,1,10.0
341,__ribosome,1.0,52,1,10.0
342,proteinX,14.0,52,1,10.0
343,ATA_charged,93.0,53,1,10.0
344,ATA_uncharged,6.0,53,1,10.0
345,TTT_charged,1.0,53,1,10.0
346,TTT_uncharged,0.0,53,1,10.0
347,__proteinX_rbs,100.0,53,1,10.0
348,__ribosome,0.0,53,1,10.0
349,proteinX,0.0,53,1,10.0
350,ATA_charged,98.0,54,1,10.0
351,ATA_uncharged,1.0,54,1,10.0
352,TTT_charged,0.0,54,1,10.0
353,TTT_uncharged,1.0,54,1,10.0
354,__proteinX_rbs,99.0,54,1,10.0
355,__ribosome,0.0,54,1,10.0
356,proteinX,1.0,54,1,10.0
