Application: Tecan i-control,,,,"Tecan i-control , 1.11.1.0",,,,
Device: infinite 200Pro,,,,Serial number: 1602000080,,,,Serial number of connected stacker:
Firmware: V_3.40_01/15_Infinite (Dec 23 2014/12.45.11),,,,"MAI, V_3.40_01/15_Infinite (Dec 23 2014/12.45.11)",,,,
,,,,,,,,
Date:,12/27/2023,,,,,,,
Time:,1:41:30 PM,,,,,,,
,,,,,,,,
,,,,,,,,
System,,,,DESKTOP-R891HJ3,,,,
User,,,,DESKTOP-R891HJ3\Barrick Lab,,,,
Plate,,,,Greiner 96 Flat Bottom Transparent Polystyrene Cat. No.: 655101/655161/655192 [GRE96ft.pdfx],,,,
Plate-ID (Stacker),,,,,,,,
,,,,,,,,
Wait (Plate),,,,On,Target Temperature: 37 °C,,,
,,,,,,,,
Wait (Plate Temperature),,,,Valid Range: 36.5 - 37.5 °C,,,,
,,,,,,,,
List of actions in this measurement script:,,,,,,,,
C3,0.193399995565414,0.190200001001358,0.185699999332428,0.186000004410744,0.194900006055832,0.210899993777275,0.237700000405312,0.277399986982346
C4,0.184300005435944,0.183899998664856,0.179900005459785,0.180399999022484,0.187399998307228,0.198799997568131,0.219999998807907,0.251399993896484
C5,0.196199998259544,0.19480000436306,0.192200005054474,0.191599994897842,0.197999998927116,0.209399998188019,0.232400000095367,0.265199989080429
C6,0.196099996566772,0.194700002670288,0.192100003361702,0.192499995231628,0.198699995875359,0.211899995803833,0.236300006508827,0.271699994802475
C7,0.187900006771088,0.186700001358986,0.18359999358654,0.184799998998642,0.1942999958992,0.208299994468689,0.233199998736382,0.26910001039505
C8,0.0967999994754791,0.0944999977946281,0.0945999994874001,0.0943000018596649,0.094200000166893,0.0943000018596649,0.0943000018596649,0.0943000018596649
C9,0.091499999165535,0.0894000008702278,0.088699996471405,0.0888999998569489,0.0870999991893768,0.0868000015616417,0.088699996471405,0.0881000012159348
C10,0.0851999968290329,0.0841000005602837,0.0838999971747398,0.0837000012397766,0.0838999971747398,0.0842999964952469,0.0846000015735626,0.0851000025868416
C11,0.0811000019311905,0.0810000002384186,0.0811000019311905,0.0811000019311905,0.0817999988794327,0.0832000002264977,0.0842000022530556,0.0850000008940697
D2,0.18860000371933,0.183899998664856,0.180899992585182,0.181799992918968,0.188199996948242,0.201399996876717,0.223000004887581,0.254799991846085
D3,0.18529999256134,0.184400007128716,0.182799994945526,0.1841000020504,0.1925999969244,0.206000000238419,0.229499995708466,0.264499992132187
D4,0.177100002765656,0.177599996328354,0.17509999871254,0.176699995994568,0.185599997639656,0.196400001645088,0.215399995446205,0.240899994969368
