"","strain","rbs","time","GFP_high","GFP_low","OD600","fluor_norm","lnOD600","experiment","groupID","expression","growthrate","mCherry_high","mCherry_low"
"1855","GFP50","RBS0.25",36900,38501.75,226.75,1.02121667253474,37701.8423567601,0.0209947326666685,2,"2 GFP50 RBS0.25",-1970.72060027087,0.0367586586445759,NA,NA
"1856","GFP50","RBS0.25",37800,38344.25,226.416666666667,1.02287502090136,37486.7400381044,0.0226173102993444,2,"2 GFP50 RBS0.25",-860.409274622594,0.00649031053070351,NA,NA
"1857","GFP50","RBS0.25",38700,38316,225.583333333333,1.01990831519167,37568.0827671255,0.0197127361891014,2,"2 GFP50 RBS0.25",325.370916084124,-0.0116182964409719,NA,NA
"1858","GFP50","RBS0.25",39600,37956.25,224.583333333333,1.0243749866883,37053.0816285439,0.024082657521005,2,"2 GFP50 RBS0.25",-2060.00455432627,0.0174796853276143,NA,NA
"1859","GFP50","RBS0.25",40500,37773.5833333333,222.75,1.01579999054472,37186.0441867867,0.0156764700767939,2,"2 GFP50 RBS0.25",531.850232971192,-0.0336247497768445,NA,NA
"1860","GFP50","RBS0.25",41400,37594.25,222.833333333333,1.01602500739197,37001.3038325705,0.0158979624281542,2,"2 GFP50 RBS0.25",-738.961416864564,0.000885969405441014,NA,NA
"1861","GFP50","RBS0.25",42300,37320.5,220.75,1.00935832659403,36974.4807336497,0.00931480874784227,2,"2 GFP50 RBS0.25",-107.292395683588,-0.0263326147212476,NA,NA
"1862","GFP50","RBS0.25",43200,37180.5,219.833333333333,1.0063166792194,36947.1169143701,0.00629681261796645,2,"2 GFP50 RBS0.25",-109.455277118308,-0.0120719845195033,NA,NA
"1863","GFP50","RBS0.5",0,2896.25,15.75,0.0156166652838389,185458.927841478,-4.15941664751402,2,"2 GFP50 RBS0.5",NA,NA,NA,NA
"1864","GFP50","RBS0.5",900,2905.41666666667,16.25,0.0243416633456945,119359.824569284,-3.71556585580803,2,"2 GFP50 RBS0.5",-264396.413088778,1.77540316682395,NA,NA
"1865","GFP50","RBS0.5",1800,2744.83333333333,16.3333333333333,0.0302999975780646,90588.5660967983,-3.49660764639868,2,"2 GFP50 RBS0.5",-115085.033889942,0.875832837637427,NA,NA
"1866","GFP50","RBS0.5",2700,2718.16666666667,15.8333333333333,0.0419666717449824,64769.650621428,-3.17087950559163,2,"2 GFP50 RBS0.5",-103275.661901481,1.30291256322817,NA,NA
"1867","GFP50","RBS0.5",3600,2949.16666666667,17.3333333333333,0.0563249997794628,52359.8167459202,-2.87661679657927,2,"2 GFP50 RBS0.5",-49639.3355020315,1.17705083604946,NA,NA
"1868","GFP50","RBS0.5",4500,3636.5,19.4166666666667,0.0791000016033649,45973.4503955472,-2.53704238393843,2,"2 GFP50 RBS0.5",-25545.465401492,1.35829765056336,NA,NA
"1869","GFP50","RBS0.5",5400,4874.66666666667,27,0.10702499995629,45546.9905971271,-2.23469282735954,2,"2 GFP50 RBS0.5",-1705.83919368027,1.20939822631557,NA,NA
"1870","GFP50","RBS0.5",6300,6990.41666666667,39.4166666666667,0.146958332508802,47567.3379476319,-1.91760618470467,2,"2 GFP50 RBS0.5",8081.38940201927,1.26834657061945,NA,NA
"1871","GFP50","RBS0.5",7200,10063,57.0833333333333,0.178874999905626,56257.1628528817,-1.72106804163312,2,"2 GFP50 RBS0.5",34759.2996209991,0.786152572286221,NA,NA
"1872","GFP50","RBS0.5",8100,13868.6666666667,80.25,0.214966667816043,64515.4284036944,-1.53727229628715,2,"2 GFP50 RBS0.5",33033.0622032507,0.735182981383878,NA,NA
"1873","GFP50","RBS0.5",9000,18208.5,104.75,0.245024997740984,74312.8259070457,-1.40639504204643,2,"2 GFP50 RBS0.5",39189.5900134052,0.523509016962895,NA,NA
