time,well,iptg,strain,rbs,temp,OD600,fluor,GFP_high,GFP_low
1800.0,B3,0.01875,GFP10,RBS0.25,37.1,0.04104166167477767,GFP,1353.5,7.5
1800.0,B4,0.01875,GFP50,RBS0.25,37.1,0.04024166303376357,GFP,2940.5,18.5
1800.0,B6,0.01875,GFP25,RBS4,37.1,0.0388416691372792,GFP,1747.5,10.5
1800.0,B7,0.01875,GFP25,RBS1,37.1,0.0331416620562474,GFP,1789.5,10.5
1800.0,B9,0.01875,GFP25,RBS0.5,37.1,0.03934166269997756,GFP,2191.5,12.5
1800.0,B11,0.01875,GFP10,RBS0.5,37.1,0.04114166336754958,GFP,1651.5,10.5
1800.0,C2,0.01875,GFP10,RBS1,37.1,0.03824167388180892,GFP,1986.5,13.5
1800.0,C3,0.01875,GFP75,RBS0.25,37.1,0.03774166541794936,GFP,3496.5,21.5
1800.0,C4,0.01875,GFP10,RBS2,37.1,0.03814167218903701,GFP,2762.5,16.5
1800.0,C5,0.01875,GFP25,RBS2,37.1,0.03414166408280532,GFP,1981.5,12.5
1800.0,C6,0.01875,GFP10,RBS1,37.1,0.03824167388180892,GFP,1961.5,12.5
1800.0,C7,0.01875,GFP75,RBS2,37.1,0.03574166136483352,GFP,2675.5,16.5
1800.0,C8,0.01875,GFP25,RBS0.25,37.1,0.04194166200856368,GFP,2176.5,13.5
1800.0,C9,0.01875,GFP50,RBS0.5,37.1,0.03834166067341964,GFP,3016.5,18.5
1800.0,C10,0.01875,GFP10,RBS0.125,37.1,0.04104166167477767,GFP,1809.5,11.5
1800.0,D2,0.01875,GFP75,RBS0.125,37.1,0.03714167016247909,GFP,3128.5,19.5
1800.0,D3,0.01875,GFP75,RBS4,37.1,0.029141668851176902,GFP,2259.5,13.5
1800.0,D4,0.01875,GFP50,RBS0.125,37.1,0.035341669494907066,GFP,3247.5,20.5
1800.0,D5,0.01875,GFP50,RBS0.125,37.1,0.03764166372517745,GFP,3349.5,19.5
1800.0,D6,0.01875,GFP10,RBS0.125,37.1,0.04064166980485122,GFP,1881.5,12.5
1800.0,D7,0.01875,GFP50,RBS0.25,37.1,0.040441666419307395,GFP,3025.5,18.5
1800.0,D8,0.01875,GFP10,RBS4,37.1,0.03834166067341964,GFP,1178.5,6.5
1800.0,D9,0.01875,GFP25,RBS0.125,37.1,0.03754166203240554,GFP,2220.5,13.5
1800.0,D10,0.01875,GFP75,RBS2,37.1,0.03584166305760543,GFP,2702.5,16.5
1800.0,E2,0.01875,GFP10,RBS0.25,37.1,0.03934166269997756,GFP,1391.5,7.5
1800.0,E3,0.01875,GFP25,RBS4,37.1,0.035241667802135154,GFP,1851.5,11.5
1800.0,E5,0.01875,GFP50,RBS2,37.1,0.03974166947106521,GFP,3290.5,20.5
1800.0,E8,0.01875,GFP50,RBS2,37.1,0.03384167390565078,GFP,3355.5,20.5
1800.0,E9,0.01875,GFP25,RBS1,37.1,0.03294167357186477,GFP,1899.5,11.5
1800.0,E11,0.01875,GFP10,RBS4,37.1,0.03814167218903701,GFP,1141.5,6.5
1800.0,F2,0.01875,GFP75,RBS1,37.1,0.033541668827335044,GFP,2734.5,17.5
1800.0,F3,0.01875,GFP75,RBS1,37.1,0.03324166374901931,GFP,2767.5,16.5
1800.0,F5,0.01875,GFP25,RBS0.25,37.1,0.03994167285660903,GFP,2265.5,14.5
1800.0,F6,0.01875,GFP50,RBS1,37.1,0.03834166067341964,GFP,2713.5,16.5
1800.0,F8,0.01875,GFP75,RBS4,37.1,0.033641670520106956,GFP,2240.5,15.5
1800.0,F9,0.01875,GFP10,RBS0.5,37.1,0.04084167319039504,GFP,1751.5,10.5
